Result,Duration,KDA
0,34:39,7/12/8
0,24:12,5/7/2
1,32:28,6/0/15
1,34:24,7/7/21
0,31:53,3/11/6
0,23:56,3/3/5
0,35:41,4/5/5
0,40:17,7/8/14
1,31:48,6/3/14
0,29:51,4/6/4
1,42:21,14/5/14
0,37:08,6/7/3
1,34:01,5/2/13
1,26:50,7/0/4
1,39:58,6/5/22
1,34:02,9/2/26
1,38:28,4/14/23
1,35:55,12/5/10
1,45:52,12/11/31
0,25:36,1/9/2
0,35:54,4/9/6
0,35:22,6/14/16
0,38:46,3/10/4
0,27:04,5/6/3
0,38:13,0/7/11
1,46:40,4/12/29
0,1:14:07,17/6/26
0,32:01,5/6/5
0,27:24,0/6/3
0,31:52,2/7/4
1,31:50,5/6/5
1,30:08,2/1/16
0,33:10,1/7/6
1,45:25,4/8/33
0,32:52,6/6/9
1,1:07:26,5/9/25
1,42:24,5/9/35
0,41:32,7/10/14
1,41:51,7/3/15
1,1:26:51,21/5/27
0,49:58,4/5/8
1,44:36,14/2/11
1,32:41,16/1/17
0,35:34,7/4/12
1,36:37,5/5/37
1,32:02,7/1/10
1,28:53,9/5/26
0,29:12,0/14/11
1,26:07,4/3/22
0,51:43,10/10/8
