Result,Duration,KDA
1,42:45,22/5/15
1,38:43,11/2/8
1,29:48,11/3/8
1,25:41,7/2/12
0,30:54,3/4/7
1,16:54,5/2/7
1,34:36,9/3/17
0,37:51,7/6/7
0,39:29,9/5/11
0,38:18,3/4/6
0,39:50,6/8/11
0,36:16,16/8/9
1,18:19,6/1/3
1,33:33,19/3/8
1,32:26,18/1/4
0,41:17,13/6/9
0,39:36,17/6/17
1,32:32,17/1/8
0,32:36,6/5/2
1,45:02,17/6/17
0,26:11,3/8/5
0,24:48,4/10/8
1,19:10,10/1/12
1,38:18,18/6/16
1,32:14,14/4/16
0,29:18,7/2/6
0,31:57,6/5/3
0,54:56,14/5/14
0,52:36,7/10/17
1,43:02,20/3/17
1,28:25,10/0/11
0,36:41,5/7/10
0,30:15,2/5/6
0,22:23,1/5/1
0,21:54,1/7/5
1,17:47,11/2/3
0,21:31,1/7/9
1,21:32,8/1/4
1,32:10,2/6/20
1,27:13,11/3/11
1,29:09,11/2/8
0,29:21,2/6/2
1,40:03,11/2/10
0,16:04,1/5/1
1,07:17,0/0/2
0,30:46,7/5/4
1,18:36,7/1/5
0,31:05,2/8/3
0,31:07,1/6/3
