Result,Duration,KDA
0,34:39,8/12/10
1,34:07,20/3/10
0,41:56,7/7/19
1,34:59,16/6/11
1,32:28,14/3/10
0,27:31,5/4/2
0,31:53,11/10/3
0,23:56,4/11/5
1,33:24,5/7/34
1,24:37,5/2/11
1,46:55,4/13/23
1,30:13,12/3/20
0,35:52,4/10/8
1,39:06,4/3/12
0,40:17,9/11/18
1,31:48,11/4/7
0,29:51,3/5/5
1,42:21,6/2/15
1,35:55,3/7/17
0,35:54,1/14/7
0,35:22,14/9/11
0,38:46,4/16/4
1,49:16,11/12/25
0,40:09,12/13/4
0,27:04,2/10/2
1,46:40,14/11/24
0,1:14:07,20/15/25
0,32:01,6/7/8
0,27:24,3/8/3
0,31:52,3/11/1
1,31:50,11/1/11
1,30:08,9/0/12
0,33:10,3/6/4
1,45:25,15/11/16
1,1:10:35,14/8/22
0,32:52,12/9/7
1,1:07:26,20/6/13
0,33:02,2/4/3
0,41:32,9/9/12
1,41:51,11/5/16
1,1:26:51,19/14/25
0,49:58,9/10/8
1,44:36,13/4/17
1,32:41,16/8/17
0,35:34,2/12/9
1,36:37,33/4/14
1,32:02,8/2/17
1,28:53,23/7/17
